ts,region_id,requests,trips,conversion_rate,avg_price,avg_proposed_price,avg_subsidy,avg_context,conversion_prob_mean,revenue,base_price,elasticity,supply,demand_supply_ratio,utilization,neigh_requests_mean,requests_forward
2025-12-01 00:05:00,0,1,1,1.0,0.878,1.878,1.0,0.1486,0.959226,0.878,1.8777568795041049,-1.5707010400443089,15,0.06666666666222222,0.06666666666222222,2.5374000061550244,6.0
2025-12-01 00:10:00,0,5,5,1.0,1.478,1.8779999999999997,0.4,-0.06163999999999999,0.7654536000000001,7.39,1.8777568795041049,-1.5707010400443089,11,0.45454545450413225,0.45454545450413225,4.074800013192895,3.0
2025-12-01 00:15:00,0,4,4,1.0,1.378,1.878,0.5,0.006699999999999984,0.80128475,5.512,1.8777568795041049,-1.5707010400443089,14,0.2857142856938775,0.2857142856938775,4.92519997886148,4.0
2025-12-01 00:20:00,0,6,3,0.5,1.4613333333333332,1.878,0.4166666666666667,-0.2687333333333333,0.7439691666666667,4.1339999999999995,1.8777568795041049,-1.5707010400443089,12,0.49999999995833333,0.24999999997916666,2.3129999559821712,3.0
2025-12-01 00:25:00,0,8,5,0.625,1.628,1.878,0.25,0.31503749999999997,0.723562375,7.39,1.8777568795041049,-1.5707010400443089,15,0.5333333332977778,0.3333333333111111,2.46259998943074,8.0
2025-12-01 00:30:00,0,10,9,0.9,1.528,1.8779999999999997,0.35,0.10684,0.7566685,13.402,1.8777568795041049,-1.5707010400443089,10,0.9999999999,0.89999999991,1.5374000070378713,3.0
2025-12-01 00:35:00,0,3,2,0.6666666666666666,1.2113333333333334,1.878,0.6666666666666666,0.3496666666666666,0.8623479999999999,1.756,1.8777568795041049,-1.5707010400443089,12,0.24999999997916666,0.16666666665277777,2.3877999727064556,1.0
2025-12-01 00:40:00,0,5,3,0.6,1.378,1.8779999999999997,0.5,0.24830000000000002,0.8029084000000001,3.634,1.8777568795041049,-1.5707010400443089,10,0.49999999995,0.29999999997,4.387799970940761,1.0
2025-12-01 00:45:00,0,5,4,0.8,1.278,1.8779999999999997,0.6,-0.43507999999999997,0.7712016,4.512,1.8777568795041049,-1.5707010400443089,14,0.35714285711734695,0.2857142856938775,2.999999997351458,2.0
2025-12-01 00:50:00,0,4,3,0.75,1.378,1.878,0.5,-0.08005000000000001,0.7888965,4.634,1.8777568795041049,-1.5707010400443089,19,0.21052631577839334,0.157894736833795,4.53740000438933,6.0
2025-12-01 00:55:00,0,3,2,0.6666666666666666,1.2113333333333334,1.878,0.6666666666666666,-0.5556333333333333,0.758463,1.756,1.8777568795041049,-1.5707010400443089,14,0.21428571427040816,0.14285714284693876,4.612200021113614,7.0
2025-12-01 01:00:00,0,2,1,0.5,1.378,1.878,0.5,-0.32575000000000004,0.7760705,1.878,1.8777568795041049,-1.5707010400443089,15,0.13333333332444444,0.06666666666222222,4.999999995585764,6.0
2025-12-01 01:05:00,0,6,6,1.0,1.2946666666666666,1.878,0.5833333333333334,0.31275000000000003,0.8708684999999999,7.768,1.8777568795041049,-1.5707010400443089,13,0.4615384615029586,0.4615384615029586,2.0748000149585897,8.0
2025-12-01 01:10:00,0,3,3,1.0,1.2113333333333334,1.878,0.6666666666666666,-0.20853333333333332,0.8288719999999999,3.634,1.8777568795041049,-1.5707010400443089,12,0.24999999997916666,0.24999999997916666,2.999999997351458,4.0
