region_id,base_rate,base_price,elasticity
0,2.3670769359566974,1.8777568795041046,-1.5707010400443089
1,2.1526304813662187,1.188354695775299,-1.5121888241816221
2,2.331191165572988,2.5721286105539076,-1.9359431836622272
3,1.461080626107588,1.7415960484651625,-1.5366175055756992
4,2.0028223362258606,2.64552322654166,-1.7782929005863344
5,0.8362684209973752,2.10916957403167,-1.9680913719479123
6,2.51736728157923,2.26332879824413,-1.620956129957313
7,1.1926727107636315,2.9413960487898065,-1.5534394393389013
8,2.379473791806533,1.3892774157039351,-1.7666394981364828
9,0.32265054420424055,1.3085789841350957,-1.6584755233787727
10,2.285334036541888,2.93501946486842,-1.837087320930924
11,1.2372871768976328,1.9391116225516158,-1.9052643204578572
12,0.5637802149393205,1.9514098524518675,-1.8865453254745579
13,2.075479185111029,1.8743038377446615,-1.5836609019710812
14,2.1607422856062977,1.6247332827640821,-1.5838700993023995
15,2.4533402009910454,1.774956758060349,-1.855835948034878
16,2.110987411129931,1.2795049672186196,-1.9000458987624458
17,0.22061435530281545,2.573848755004277,-1.6675745717039838
18,2.1744630601537382,2.561458062043936,-1.77054211223083
19,1.7924753486681024,1.279593996255315,-1.9427349632320132
